Year,1_CABLE-POP_S3_gpp.nc,1_CLASSIC_S3_gpp.nc,1_CLM5.0_S3_gpp.nc,1_DLEM_S3_gpp.nc,1_E3SM_S3_gpp.nc,1_EDv3_S3_gpp.nc,1_IBIS_S3_gpp.nc,1_ISBA-CTRIP_S3_gpp.nc,1_JSBACH_S3_gpp.nc,1_JULES_S3_gpp.nc,1_LPJ-GUESS_S3_gpp.nc,1_LPJmL_S3_gpp.nc,1_LPJwsl_S3_gpp.nc,1_OCN_S3_gpp.nc,1_ORCHIDEE_S3_gpp.nc,1_SDGVM_S3_gpp.nc,1_YIBs_S3_Monthly_gpp.nc
1960,1914730.344224283,1840222.9930097305,2740548.4804665516,762009.8211043468,2544821.67279745,1087178.2150089268,2356543.140800951,1236141.1911830527,1604096.2976557543,2541593.9515059674,1822362.350586887,2915660.5130518423,2896131.8595995475,1936141.302098522,1870168.9369717054,1740969.5536934715,1774440.9082885422
1961,1761300.8414065207,1781555.7859466528,2665956.3078045114,734216.8852483581,2484404.069448095,1088747.0435000088,2292253.2907784423,1204758.175739242,1529819.0745188715,2544503.9414653564,1775311.7234117687,2837364.9512623893,2817212.1905953134,1909464.5007032352,1834772.343579758,1715203.4953314965,1761271.2085832616
1962,1852396.141290971,1765971.9486816637,2665987.7908560266,733715.8197673735,2453483.76201781,1081878.11692927,2268851.9363127844,1194384.868739495,1579481.9829299466,2580752.4182104142,1840076.5716685746,2846982.44476393,2834137.160352831,1915716.0566945882,1807538.5412635184,1693996.5995709081,1785212.441642777
1963,1977805.6091259732,1877815.4539639081,2813922.843341285,786668.0828443244,2543903.2030424504,1110443.995782758,2377559.617742772,1251828.2822012282,1655007.0208812326,2672416.4787068767,1922145.6321557967,2924750.189853456,2963756.4514129693,2023832.2307077055,1899287.0192606847,1755125.1518234871,1836152.3355507152
1964,1850667.5005121115,1721360.6113406394,2677992.8052837616,720627.6400479851,2430712.648052456,1084441.5686965706,2246828.2556052017,1145117.2032356593,1512721.8463863935,2508415.7521745292,1788235.872000583,2744320.759966191,2713666.8970370684,1899654.3105023645,1837503.9190749982,1656394.9398254752,1744156.5553083187
1965,1844706.8290618584,1640189.862305041,2631318.658438117,688580.3876979994,2379448.424115373,1058784.5831868222,2165710.3908585,1071030.652917137,1498859.8948697613,2406393.811892788,1762296.6322657634,2715126.662823148,2646780.048005712,1851634.986804216,1809477.15628178,1624562.3530051084,1710421.6214803536
1966,1915490.0328398007,1717616.0973916557,2654292.941682036,723046.2441303412,2484567.346692044,1077357.263254564,2332798.67889407,1187226.331341489,1563617.4314009037,2478968.935986478,1765040.1398895872,2814959.057746555,2852116.1809817404,1886615.2364779795,1822141.79513288,1685753.5694125649,1776496.9200863517
1967,1798370.1203055554,1715742.3836676106,2691812.098390539,722295.2365580875,2493718.97227688,1109791.7641999626,2293637.875032195,1204408.691384193,1562498.6936490755,2521371.1460755914,1748844.5221673762,2790414.3014736325,2870458.435397301,1936245.720354882,1881468.315695487,1720987.4685753116,1796631.1185460328
1968,1778087.1822773954,1702687.89754022,2680196.9681757144,730352.5378740305,2469955.190445032,1107379.819145449,2327760.492320751,1121710.2947735265,1559427.8862135513,2528205.4097725395,1789902.7794245472,2807301.375994714,2816717.2725532018,1918464.6244871016,1855139.4837087085,1673891.0049629803,1770795.4274827058
1969,1652588.7109204489,1598712.592801079,2494606.7619366026,696328.8160030372,2393660.5928102136,1062921.4770003015,2162507.0422312636,1075554.1177673205,1507219.8471398223,2379268.3576061353,1677718.2835261761,2617212.116061618,2695562.236364264,1882793.7240700247,1818448.2526281772,1662484.690369261,1744051.1823064664
1970,1740055.3585235816,1738894.9031490292,2660675.3060214985,738307.7863577553,2442115.514282705,1093659.5115365887,2258059.795308612,1136577.9796490725,1507446.4860220936,2456288.657252729,1759310.321396148,2807330.972358715,2803429.8103978904,1903480.7205100888,1895357.7399381232,1695605.640992655,1768030.7602789889
1971,1839535.8168652789,1685615.923511179,2594148.747683682,718575.1373225658,2476726.8964500343,1089727.0269344863,2271172.582624372,1142559.9018473672,1517043.6107842333,2425095.224248075,1759846.5162546358,2821526.6797711467,2824648.607145139,1880728.0333504186,1862618.9146973342,1696192.0629055707,1767168.4672277016
1972,1696838.8706710576,1640217.5609682705,2554076.303587551,725905.3980023861,2360172.6190444147,1076899.0529780053,2166700.1431168555,1151782.6962377466,1481984.1545164161,2386660.219613994,1747593.9123077872,2671026.696405268,2756940.6858005016,1849787.4141492404,1843536.147798661,1652712.6986493212,1739618.3128019932
1973,1840415.085120043,1770777.0973443515,2758313.704416806,765307.8820388924,2598386.472384565,1101089.5550411725,2339556.0250625312,1232240.6955881082,1581505.384880874,2545641.3786944533,1863951.4361500812,2882346.2714133607,2933089.168566295,1954864.873202909,1946023.6094137393,1758152.541308749,1795086.9665684113
1974,1728083.9545412343,1705848.0475277794,2636943.92845036,723670.3663748649,2502462.6730538164,1089869.88781231,2280190.0199983655,1175119.4445529594,1540973.405701821,2493162.5515166083,1804686.4920099522,2780046.1689062365,2837072.8270696998,1888412.9275045071,1947462.9175279238,1707148.006885511,1785347.2389784663
