Year,1_CABLE-POP_S3_gpp.nc,1_CLASSIC_S3_gpp.nc,1_CLM5.0_S3_gpp.nc,1_DLEM_S3_gpp.nc,1_E3SM_S3_gpp.nc,1_EDv3_S3_gpp.nc,1_IBIS_S3_gpp.nc,1_ISBA-CTRIP_S3_gpp.nc,1_JSBACH_S3_gpp.nc,1_JULES_S3_gpp.nc,1_LPJ-GUESS_S3_gpp.nc,1_LPJmL_S3_gpp.nc,1_LPJwsl_S3_gpp.nc,1_OCN_S3_gpp.nc,1_ORCHIDEE_S3_gpp.nc,1_SDGVM_S3_gpp.nc,1_YIBs_S3_Monthly_gpp.nc
1960,5481876.457784317,7550497.965214921,7738524.8160328325,5051078.198758066,7801728.103774437,5320454.201220071,6428744.238826891,6162548.991368623,4206943.99943213,7697755.997821014,5448031.150999367,8752520.291093392,8717407.993555801,8042471.810083928,5255841.01261135,6861239.790927402,8198306.727508966
1961,5489120.445841452,7563644.128478119,7762898.945747841,5101592.595193852,7857750.564003244,5437106.907705205,6390385.904236047,6205015.888887804,4301148.061073874,7804791.300827799,5459592.19360576,8826988.508610789,8701127.77591962,8215236.440966781,5314258.935402329,6916762.048674276,8187517.989558769
1962,5314105.858154206,7388814.231786445,7860201.517875962,4989490.597897195,7759935.47780015,5415930.6554131415,6424712.30492669,6012220.6397353,4317878.898518017,7706067.474866273,5516757.737995682,8896811.82923482,8726645.555207683,8058470.222769585,5345298.376915136,6757418.744009196,8137642.100239135
1963,5067172.9429910965,7463218.347011885,7808438.766340701,5079044.973756034,7571807.889201662,5271781.088134597,6507611.601924844,5894826.421775952,4047231.8041089037,7551693.815534797,5607304.029356511,8945275.992659315,8754085.23398083,8135314.858046377,5412751.390984971,6900613.539599084,8165506.032948607
1964,4725652.931104974,7229960.763490142,7722486.046339126,4972646.084534073,7680591.785529568,5243419.285749381,6520636.746180896,5894489.697530961,3863463.5224963874,7333606.974061718,5397091.846313267,8670242.652913539,8521114.707517453,7948370.273329199,5345772.89961004,6761378.939861831,8039293.274178965
1965,5387613.231773572,7254082.316111076,7800602.734532185,4952391.253907086,7788060.158827863,5366858.017960521,6410755.905645644,6065427.299941119,4234282.19123195,7577308.070696868,5637326.860213505,8883886.908011336,8640173.022338841,8017034.371275815,5385582.734132521,6780955.26284936,8098362.1435263
1966,5529888.61299511,7655995.0918594375,7863652.730697522,5184930.954904135,8167078.95983938,5722140.650112415,6458738.104423273,6378996.430575449,4585985.491041451,8022190.462057006,5672845.545662792,9131905.754408386,8933694.497642942,8437983.026138078,5652316.1929688975,7154042.416935514,8338080.739980986
1967,5303462.607397392,7440334.211235609,7920638.835687868,5142926.720058214,7949598.972388391,5662811.896267245,6516116.27532595,6180169.148918395,4332643.010485426,7799883.78564771,5652170.457413777,8958464.017076641,8847287.067823611,8261673.505696185,5656200.235264427,6944861.955796425,8302194.432172099
1968,5397716.958690668,7749697.218132184,8019515.681649605,5208591.232332885,7970675.520022245,5729306.039939861,6603187.254961165,6380954.6321139075,4803789.493561359,8076749.235688562,5886413.8334773155,9314270.320528656,9148264.223297076,8573710.34398333,5821508.032730956,7114158.090374939,8517023.681515206
1969,5502689.12981321,7547074.37420162,8065417.968596254,5078922.916780356,7979639.7709003035,5737350.9580760095,6419325.008252826,6365913.111909213,4519094.35516663,8033285.429435929,5777810.020880438,8992186.142978469,9133855.531993145,8356373.976163151,5887760.566038961,6936657.554661749,8331723.086604395
1970,5448336.765994376,7404655.288532756,7950156.035376793,5099938.530425146,8059438.327047886,5760223.003076712,6319066.60062951,6338900.17704574,4597742.153083689,8012288.352490189,5595405.763770176,8971451.18686121,8818080.794822665,8369222.524884042,5966237.205539944,6996036.375974509,8335215.840713882
1971,5425335.3927349895,7442093.804580823,7984746.882644232,5091020.017602215,7868013.624879932,5588237.2751325825,6259362.755200956,6147005.133974525,4341685.5726697575,7828675.83706435,5726300.767175772,9088533.868208323,8773086.937571626,8254405.143602955,5886476.098730367,6877652.913907536,8290954.998539988
1972,5479489.599492013,7721897.130007302,8016506.533692053,5252348.123851014,8173105.919021364,5714502.182076093,6210680.141958031,6392084.627180176,4169497.7081695916,7963212.665703214,5941082.263962075,9249109.481723942,8893228.988013402,8630616.90580935,6133872.0156807825,7019640.780145488,8477910.473556887
1973,5694685.152836305,7845485.362356762,8090041.429840035,5254686.910861652,8367662.446235834,5809981.927404076,6382843.296583866,6615850.339132554,4625747.828155176,8158531.620375887,5951282.346868001,9344396.28455611,9061702.123097893,8842741.591476684,6240128.479969592,7152307.350675681,8575024.74689176
1974,5779164.337339578,7564371.607929705,8149902.856674844,5170158.330735613,8225514.969043205,6080512.319680802,6374667.351101972,6503128.005254702,4761076.419657145,8254702.888105301,5909236.369512739,9247032.585778099,9081974.844930954,8658704.880353019,6187228.077627981,6907696.057831584,8468845.252398998
1975,5521581.129779598,7791973.338599072,8077468.01940251,5296589.490260249,8142046.45147524,5942589.807618633,6301531.293187107,6518329.581045512,4759881.91512012,8160728.241137728,5876166.592660025,9272968.618762963,8940077.817564724,8794131.89070616,6355069.999397633,7026866.615658974,8583808.756571563
1976,5327556.163552571,7546518.204744183,8085586.569605209,5178550.360105454,8118343.475832844,5817282.360909005,6527870.222821321,6166485.481576145,4274573.235881345,7827702.463083954,6133771.96351134,9508268.636845233,8966969.66267084,8419469.678015357,6356294.826544544,7032384.977582296,8394497.123070842
1977,5622394.692929079,8038564.45234916,8255974.899143722,5233742.841807228,8445664.171851797,6126442.946497844,6373480.5241866335,6449489.751082536,4597912.977861207,8005618.125624422,6100405.755007717,9485842.71754093,9287603.454516336,8796047.471614886,6591213.7541675875,7054087.73434101,8566318.331768975
1978,5720339.976278146,7662002.951657265,8165694.954813292,5201198.02612458,8311430.224287219,6148963.248108449,6446274.245547985,6454006.2712064795,4869420.0241559455,8278826.525960952,5996882.818203323,9496849.233296294,9051155.184894804,8610786.267010288,6544861.0917655155,7044042.181039019,8536614.637426268
1979,5738753.299483992,7588512.179502875,8092529.043629238,5262415.328284752,8214652.907537617,6262113.10267229,6263882.761052335,6624742.537877514,4842154.683235601,8374579.788691405,5903134.135238927,9284373.037710017,9012608.067363981,8761236.039837163,6673174.930580169,7129437.304699149,8671323.492965708
1980,5765394.734351451,7565599.020977193,8048228.185550505,5180340.746198224,8071171.008133781,6132557.594234724,6346747.955453476,6475058.207911346,4794483.711407797,8314658.193735704,5984403.248457551,9348836.08504157,8968527.405065056,8377137.22573515,6600259.258020583,6980469.734893797,8459182.246343162
