Id,Name,Country,longitude,latitude,PI names,Site type,Elevation above sea,Station class,Labeling date
http://meta.icos-cp.eu/resources/stations/OS_687B,CanOA,Spain (ES),,,González-Dávila,soop,-5,1,2023/11/15
http://meta.icos-cp.eu/resources/stations/ES_FR-Gri,Grignon,France (FR),1.95191,48.84422,Kalalian,croplands,125,2,2021/11/17
http://meta.icos-cp.eu/resources/stations/AS_ZSF,Zugspitze,Germany (DE),10.9796,47.4165,Couret Schmidt,mountain,2666,2,2021/5/25
http://meta.icos-cp.eu/resources/stations/ES_FI-Kvr,Kuivajarvi,Finland (FI),24.2804,61.84662,Li,water bodies,141,Associated,2020/5/27
http://meta.icos-cp.eu/resources/stations/ES_CD-Ygb,Yangambi,Congo  the Democratic Republic of the (CD),24.502472,0.814444,Boeckx,mixed forests,466,Associated,2022/11/23
http://meta.icos-cp.eu/resources/stations/ES_DE-Tha,Tharandt,Germany (DE),13.56515,50.96256,Mauder,evergreen needleleaf forests,380,1,2020/11/17
http://meta.icos-cp.eu/resources/stations/OS_NA-VOS,Atlantic Sail,Germany (DE),,,Steinhoff,soop,-10,1,2022/5/18
http://meta.icos-cp.eu/resources/stations/ES_GL-ZaH,Zackenberg Gras,Greenland (GL),-20.550869,74.4733,Jensen,grasslands,41,Associated,2022/11/23
http://meta.icos-cp.eu/resources/stations/ES_SE-Htm,Hyltemossa,Sweden (SE),13.41897,56.09763,Heliasz,evergreen needleleaf forests,115,2,2018/5/31
IT-E2M,IT-FOS-E2M3A,Italy (IT),18.7746,41.5705,Cardin,fixed station,-2,2,
http://meta.icos-cp.eu/resources/stations/ES_DE-Okd,Oberklenkendorf,Germany (DE),9.09247,53.4126,Brümmer,grasslands,9,Associated,
http://meta.icos-cp.eu/resources/stations/AS_SAC,Saclay,France (FR),2.142,48.7227,Delmotte Lopez,tall tower,160,1,2020/5/27
http://meta.icos-cp.eu/resources/stations/ES_SE-Deg,Degero,Sweden (SE),19.55654,64.18203,Peichl,permanent wetlands,270,2,2019/11/21
http://meta.icos-cp.eu/resources/stations/ES_GL-Dsk,Disko,Greenland (GL),-53.51413,69.25349,Friborg,open shrublands,8,Associated,2021/5/25
http://meta.icos-cp.eu/resources/stations/ES_CZ-Lnz,Lanzhot,Czech Republic (CZ),16.946331,48.68155,Kowalska,deciduous broadleaf forests,182,1,2022/5/18
http://meta.icos-cp.eu/resources/stations/ES_FR-Pue,Puechabon,France (FR),3.5957,43.7413,Limousin,evergreen broadleaf forests,271,2,2021/11/17
http://meta.icos-cp.eu/resources/stations/ES_DE-Hai,Hainich,Germany (DE),10.452168,51.079212,Knohl,deciduous broadleaf forests,438.7,Associated,2020/5/27
http://meta.icos-cp.eu/resources/stations/AS_LIN,Lindenberg,Germany (DE),14.1226,52.1663,Kneuer Lindauer Müller-Williams Zwerschke,tall tower,73,1,2018/11/30
